phase,char,stroke_pixels
trial,あ,9666
trial,い,5199
trial,ん,5381
trial,が,8162
trial,ぱ,10045
trial,ゐ,9236
full,あ,9666
full,い,5199
full,う,5427
full,え,6670
full,お,8566
full,か,7564
full,き,8429
full,く,3953
full,け,6433
full,こ,4445
full,さ,6937
full,し,4458
full,す,7162
full,せ,7567
full,そ,7171
full,た,6767
full,ち,6897
full,つ,5256
full,て,5554
full,と,5419
full,な,8305
full,に,5738
full,ぬ,10501
full,ね,9110
full,の,7959
full,は,8426
full,ひ,6958
full,ふ,6724
full,へ,3676
full,ほ,9595
full,ま,8548
full,み,8383
full,む,8070
full,め,9358
full,も,7289
full,や,7190
full,ゆ,9022
full,よ,6576
full,ら,6195
full,り,6203
full,る,8844
full,れ,7717
full,ろ,7048
full,わ,7728
full,を,8301
full,ん,5381
full,が,8162
full,ぎ,8911
full,ぐ,5132
full,げ,7044
full,ご,5391
full,ざ,7725
full,じ,5605
full,ず,8107
full,ぜ,8553
full,ぞ,7844
full,だ,7522
full,ぢ,7680
full,づ,6024
full,で,6561
full,ど,6411
full,ば,9360
full,び,7697
full,ぶ,7565
full,べ,4805
full,ぼ,10091
full,ぱ,10045
full,ぴ,8255
full,ぷ,7942
full,ぺ,5311
full,ぽ,10557
full,ぁ,7195
full,ぃ,3941
full,ぅ,4056
full,ぇ,4906
full,ぉ,6451
full,っ,3915
full,ゃ,5369
full,ゅ,6626
full,ょ,4830
full,ゎ,5717
full,ゐ,9236
full,ゑ,10752
full,ゔ,6269
